,OrphaNumber,Disorder_Name,Category
3683,95718,Congenital thyroid malformation without hypothyroidism,rare endocrine diseases
3684,95719,Thyroid hemiagenesis,rare genetic diseases|rare endocrine diseases
3685,95720,Thyroid hypoplasia,rare genetic diseases|rare endocrine diseases
3686,95854,Levocardia,rare developmental anomalies during embryogenesis|rare cardiac malformations
3687,96055,Tetrasomy 21 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3688,96059,Mosaic trisomy 4 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3689,96060,Mosaic trisomy 5 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3690,96061,Mosaic trisomy 8 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3691,96063,Mosaic trisomy 10 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3692,96068,Mosaic trisomy 22 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3693,96069,Distal duplication 1p36 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3694,96070,Distal duplication 2p syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare ophthalmic disorders
3695,96071,Distal duplication 3p syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3696,96072,4p16.3 microduplication syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3697,96074,Distal duplication 7p syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3698,96076,Beckwith-Wiedemann syndrome due to 11p15 microduplication,rare cardiac diseases|rare developmental anomalies during embryogenesis|rare genetic diseases|rare renal diseases|rare otorhinolaryngological diseases|rare neoplastic diseases|rare surgical maxillo-facial diseases|rare transplant-related disorders
3699,96078,16p13.3 microduplication syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3700,96092,8p inverted duplication/deletion syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3701,96094,Distal duplication 2q syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3702,96095,3q26 microduplication syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare ophthalmic disorders
3703,96096,Distal duplication 4q syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3704,96097,Distal duplication 5q syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3705,96098,Distal duplication 6q syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3706,96100,Distal duplication 8q syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3707,96101,Distal duplication 9q syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3708,96102,Distal duplication 10q syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare ophthalmic disorders
3709,96103,Distal duplication 11q syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3710,96105,Distal duplication 13q syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3711,96106,Distal duplication 16q syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3712,96107,Distal duplication 20q syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3713,96109,Distal duplication 22q syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3714,96112,Non-distal duplication 9q syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3715,96121,7q11.23 microduplication syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3716,96123,Monosomy 22 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3717,96125,Distal deletion 6p syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
3718,96126,Distal deletion 7p syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3719,96129,Distal deletion 19p syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3720,96145,Distal deletion 4q syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3721,96147,Kleefstra syndrome due to 9q34 microdeletion,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
3722,96148,Distal deletion 10q syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3723,96149,Distal deletion 12q syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3724,96150,Distal deletion 14q syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3725,96160,Non-distal deletion 12q syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3726,96167,Recombinant 8 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3727,96168,Monosomy 13q34 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare ophthalmic disorders
3728,96169,Koolen-De Vries syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare bone diseases
3729,96170,Emanuel syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare abdominal surgical diseases|rare surgical thoracic diseases
3730,96171,Ring chromosome 2 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3731,96172,Ring chromosome 3 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3732,96173,Ring chromosome 9 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3733,96175,Ring chromosome 11 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3734,96176,Ring chromosome 13 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare abdominal surgical diseases|rare transplant-related disorders
3735,96177,Ring chromosome 15 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3736,96178,Ring chromosome 16 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3737,96179,Maternal uniparental disomy of chromosome 2 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3738,96180,Maternal uniparental disomy of chromosome 4 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3739,96181,Maternal uniparental disomy of chromosome 6 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3740,96182,Silver-Russell syndrome due to maternal uniparental disomy of chromosome 7,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders|rare neoplastic diseases
3741,96183,Maternal uniparental disomy of chromosome 9 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3742,96184,Temple syndrome due to maternal uniparental disomy of chromosome 14,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare endocrine diseases
3743,96185,Maternal uniparental disomy of chromosome 16 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare abdominal surgical diseases|rare transplant-related disorders
3744,96186,Maternal uniparental disomy of chromosome 20 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3745,96187,Maternal uniparental disomy of chromosome 21 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3746,96188,Maternal uniparental disomy of chromosome 22 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3747,96190,Paternal uniparental disomy of chromosome 5 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3748,96191,Paternal uniparental disomy of chromosome 6 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3749,96192,Paternal uniparental disomy of chromosome 7 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3750,96193,Beckwith-Wiedemann syndrome due to paternal uniparental disomy of chromosome 11,rare cardiac diseases|rare developmental anomalies during embryogenesis|rare genetic diseases|rare renal diseases|rare otorhinolaryngological diseases|rare neoplastic diseases|rare surgical maxillo-facial diseases|rare transplant-related disorders
3751,96194,Paternal uniparental disomy of chromosome 20 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3752,96195,Paternal uniparental disomy of chromosome 21 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3753,96201,X small rings syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare endocrine diseases|rare infertility disorders|rare gynecological and obstetric diseases
3754,96210,Rare genetic deafness,rare genetic diseases
3755,96253,Cushing disease,rare endocrine diseases|rare infertility disorders|rare neoplastic diseases
3756,96256,Somatotropic adenoma,rare endocrine diseases|rare neoplastic diseases
3757,96263,"48,XXXY syndrome",rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare urogenital diseases|rare endocrine diseases|rare infertility disorders
3758,96264,"49,XXXXY syndrome",rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare urogenital diseases|rare endocrine diseases|rare infertility disorders
3759,96265,Leydig cell hypoplasia due to complete LH resistance,rare developmental anomalies during embryogenesis|rare genetic diseases|rare urogenital diseases|rare endocrine diseases|rare infertility disorders|rare transplant-related disorders
3760,96266,Leydig cell hypoplasia due to partial LH resistance,rare developmental anomalies during embryogenesis|rare genetic diseases|rare urogenital diseases|rare endocrine diseases|rare infertility disorders|rare transplant-related disorders
3761,96269,Isolated partial vaginal agenesis,rare developmental anomalies during embryogenesis|rare urogenital diseases|rare infertility disorders|rare gynecological and obstetric diseases|rare transplant-related disorders
3762,96321,Polyploidy syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3763,96325,Isochromosome Y syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3764,96333,Rare otorhinolaryngological malformation,rare developmental anomalies during embryogenesis|rare otorhinolaryngological diseases
3765,96334,Kagami-Ogata syndrome due to paternal uniparental disomy of chromosome 14,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
3766,96344,Rare gynecologic or obstetric disease,rare gynecological and obstetric diseases
3767,96346,Anorectal malformation,rare developmental anomalies during embryogenesis|rare genetic diseases|rare abdominal surgical diseases|rare transplant-related disorders
3768,97120,Distal arthrogryposis,rare developmental anomalies during embryogenesis|rare genetic diseases
3769,97214,Eisenmenger syndrome,rare respiratory diseases|rare transplant-related disorders
3770,97229,Riboflavin transporter deficiency,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders|rare otorhinolaryngological diseases
3771,97230,Solar urticaria,rare skin diseases
3772,97232,Fingerprint body myopathy,rare genetic diseases|rare neurological diseases
3773,97234,Glycogen storage disease due to phosphoglycerate mutase deficiency,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
3774,97238,Rippling muscle disease,rare genetic diseases|rare neurological diseases
3775,97239,Reducing body myopathy,rare genetic diseases|rare neurological diseases
3776,97240,Zebra body myopathy,rare genetic diseases|rare neurological diseases
3777,97242,Congenital muscular dystrophy,rare genetic diseases|rare neurological diseases
3778,97244,Rigid spine syndrome,rare genetic diseases|rare neurological diseases
3779,97245,Congenital myopathy,rare genetic diseases|rare neurological diseases
3780,97249,Pontocerebellar hypoplasia type 3,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
3781,97252,Mega-cisterna magna,rare developmental anomalies during embryogenesis|rare neurological diseases
3782,97253,Neuroendocrine tumor of pancreas,rare gastroenterological diseases|rare endocrine diseases|rare neoplastic diseases
3783,97261,GRFoma,rare gastroenterological diseases|rare endocrine diseases|rare neoplastic diseases
3784,97275,Encephalitis,rare neurological diseases
3785,97278,PPoma,rare gastroenterological diseases|rare endocrine diseases|rare neoplastic diseases
3786,97279,Insulinoma,rare gastroenterological diseases|rare endocrine diseases|rare neoplastic diseases|Classification of pediatric cancer (Functional)
3787,97280,Glucagonoma,rare gastroenterological diseases|rare endocrine diseases|rare neoplastic diseases
3788,97282,VIPoma,rare gastroenterological diseases|rare endocrine diseases|rare neoplastic diseases|Classification of pediatric cancer (Functional)
3789,97283,Somatostatinoma,rare gastroenterological diseases|rare endocrine diseases|rare neoplastic diseases|rare transplant-related disorders
3790,97285,Thyroid lymphoma,rare endocrine diseases|rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders
3791,97286,Carney-Stratakis syndrome,rare genetic diseases|rare endocrine diseases|rare neoplastic diseases
3792,97287,Bronchial neuroendocrine tumor,rare respiratory diseases|rare endocrine diseases|rare neoplastic diseases|Classification of pediatric cancer (Functional)
3793,97289,Thymic neuroendocrine tumor,rare endocrine diseases|rare neoplastic diseases
3794,97290,Familial papillary thyroid carcinoma with renal papillary neoplasia,rare genetic diseases|rare renal diseases|rare endocrine diseases|rare neoplastic diseases
3795,97292,Cardiogenic shock,rare cardiac diseases
3796,97293,Rare benign ovarian tumor,rare neoplastic diseases|rare gynecological and obstetric diseases
3797,97297,Bohring-Opitz syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare bone diseases
3798,97330,Thoracic outlet syndrome,rare surgical thoracic diseases
3799,97332,Kienbock disease,rare systemic and rheumatological diseases|rare bone diseases
3800,97335,Osgood-Schlatter disease,rare systemic and rheumatological diseases|rare bone diseases
3801,97336,Panner disease,rare systemic and rheumatological diseases|rare bone diseases
3802,97337,Sinding-Larsen-Johansson disease,rare systemic and rheumatological diseases|rare bone diseases
3803,97338,Melanoma of soft tissue,rare neoplastic diseases
3804,97339,Dural sinus malformation,rare developmental anomalies during embryogenesis|rare neurological diseases|rare circulatory system diseases
3805,97340,Hunter-McAlpine syndrome,rare developmental anomalies during embryogenesis
3806,97341,Persistent placoid maculopathy,rare genetic diseases|rare ophthalmic disorders
3807,97345,ABri amyloidosis,rare genetic diseases|rare neurological diseases|rare systemic and rheumatological diseases
3808,97346,ADan amyloidosis,rare genetic diseases|rare neurological diseases|rare systemic and rheumatological diseases
3809,97349,Postencephalitic parkinsonism,rare neurological diseases
3810,97352,Pellagra,rare skin diseases
3811,97353,Dementia pugilistica,rare neurological diseases
3812,97355,Caribbean parkinsonism,rare neurological diseases
3813,97360,Robinow syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare bone diseases
3814,97361,"Renal hypoplasia, unilateral",rare developmental anomalies during embryogenesis|rare genetic diseases|rare renal diseases|rare transplant-related disorders
3815,97362,"Renal hypoplasia, bilateral",rare developmental anomalies during embryogenesis|rare genetic diseases|rare renal diseases|rare transplant-related disorders
3816,97363,Unilateral multicystic dysplastic kidney,rare developmental anomalies during embryogenesis|rare genetic diseases|rare renal diseases|rare transplant-related disorders
3817,97364,Bilateral multicystic dysplastic kidney,rare developmental anomalies during embryogenesis|rare genetic diseases|rare renal diseases|rare transplant-related disorders
3818,97366,Multiloculated renal cyst,rare renal diseases|rare neoplastic diseases|rare transplant-related disorders
3819,97367,Renal tubular dysgenesis due to twin-twin transfusion,rare developmental anomalies during embryogenesis|rare renal diseases|rare transplant-related disorders
3820,97368,Drug-related renal tubular dysgenesis,rare developmental anomalies during embryogenesis|rare renal diseases|rare transplant-related disorders
3821,97369,Renal tubular dysgenesis of genetic origin,rare developmental anomalies during embryogenesis|rare genetic diseases|rare renal diseases|rare transplant-related disorders
3822,97548,Right sided atrial isomerism,rare developmental anomalies during embryogenesis|rare cardiac malformations|rare genetic diseases|rare abdominal surgical diseases
3823,97560,Primary membranous glomerulonephritis,rare renal diseases|rare transplant-related disorders
3824,97563,Pauci-immune glomerulonephritis with ANCA,rare renal diseases|rare transplant-related disorders
3825,97564,Pauci-immune glomerulonephritis without ANCA,rare renal diseases|rare transplant-related disorders
3826,97566,Non-amyloid fibrillary glomerulopathy,rare renal diseases|rare transplant-related disorders
3827,97567,Immunotactoid glomerulopathy,rare renal diseases|rare transplant-related disorders
3828,97593,Pseudohypoparathyroidism,rare developmental anomalies during embryogenesis|rare genetic diseases|rare renal diseases|rare endocrine diseases
3829,97598,Congenital renal artery stenosis,rare developmental anomalies during embryogenesis|rare renal diseases|rare circulatory system diseases|rare transplant-related disorders
3830,97678,Maternal uniparental disomy of chromosome 13 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3831,97685,17q11 microdeletion syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare skin diseases|rare renal diseases|rare ophthalmic disorders|rare bone diseases|rare neoplastic diseases|rare transplant-related disorders
3832,97929,Rare cardiac disease,rare cardiac diseases
3833,97935,Rare gastroenterologic disease,rare gastroenterological diseases
3834,97944,Gastroduodenal malformation,rare developmental anomalies during embryogenesis|rare genetic diseases|rare abdominal surgical diseases
3835,97945,Intestinal malformation,rare developmental anomalies during embryogenesis|rare genetic diseases|rare abdominal surgical diseases|rare transplant-related disorders
3836,97955,Rare respiratory disease,rare respiratory diseases
3837,97957,Respiratory or thoracic malformation,rare respiratory diseases
3838,97962,Rare surgical thoracic disease,rare surgical thoracic diseases
3839,97965,Rare surgical cardiac disease,rare developmental anomalies during embryogenesis|rare cardiac malformations
3840,97966,Rare ophthalmic disorder,rare ophthalmic disorders
3841,97978,Rare endocrine disease,rare endocrine diseases
3842,97992,Rare hematologic disease,rare hematological diseases
3843,98004,Rare immune disease,rare immunological diseases
3844,98006,Rare neurologic disease,rare neurological diseases
3845,98010,Infectious disease of the nervous system,rare neurological diseases
3846,98022,Rare headache,rare neurological diseases
3847,98023,Rare systemic or rheumatologic disease,rare systemic and rheumatological diseases
3848,98026,Rare odontologic disease,rare odontological diseases
3849,98027,Rare disease with odontological manifestation,rare odontological diseases
3850,98028,Rare circulatory system disease,rare circulatory system diseases
3851,98033,Rare neurologic disease with psychiatric involvement,rare neurological diseases
3852,98036,Rare otorhinolaryngologic disease,rare otorhinolaryngological diseases
3853,98038,Cranial malformation,rare developmental anomalies during embryogenesis
3854,98039,Digestive tract malformation,rare developmental anomalies during embryogenesis|rare abdominal surgical diseases
3855,98041,"Visceral malformation of the liver, biliary tract, pancreas or spleen",rare developmental anomalies during embryogenesis|rare abdominal surgical diseases
3856,98043,Diaphragmatic or abdominal wall malformation,rare developmental anomalies during embryogenesis|rare abdominal surgical diseases
3857,98044,Central nervous system malformation,rare developmental anomalies during embryogenesis|rare neurological diseases
3858,98045,Respiratory or mediastinal malformation,rare developmental anomalies during embryogenesis
3859,98047,Rare infertility,rare infertility disorders
3860,98048,Rare male infertility,rare infertility disorders
3861,98049,Rare female infertility,rare infertility disorders
3862,98050,Rare allergic disease,rare allergic disease
3863,98052,Rare allergic respiratory disease,rare allergic disease
3864,98053,Rare genetic disease,rare genetic diseases
3865,98054,Rare genetic cardiac disease,rare genetic diseases
3866,98056,Rare genetic renal disease,rare genetic diseases
3867,98057,Rare tumor,rare neoplastic diseases
3868,98058,Rare urinary tract tumor,rare urogenital diseases|rare neoplastic diseases
3869,98059,Rare digestive tumor,rare neoplastic diseases
3870,98060,Rare respiratory tumor,rare respiratory diseases|rare neoplastic diseases
3871,98061,Rare otorhinolaryngologic tumor,rare otorhinolaryngological diseases|rare neoplastic diseases
3872,98062,Rare nervous system tumor,rare neurological diseases|rare neoplastic diseases
3873,98063,Rare gynecological tumor,rare neoplastic diseases|rare gynecological and obstetric diseases
3874,98074,Gonadal dysgenesis of gynecological interest,rare genetic diseases|rare gynecological and obstetric diseases
3875,98078,"46,XX difference of sex development induced by androgens excess",rare developmental anomalies during embryogenesis|rare urogenital diseases|rare endocrine diseases|rare gynecological and obstetric diseases
3876,98085,"46,XY difference of sex development",rare developmental anomalies during embryogenesis|rare urogenital diseases|rare endocrine diseases
3877,98086,"46,XY difference of sex development due to a defect in testosterone metabolism by peripheral tissue",rare developmental anomalies during embryogenesis|rare genetic diseases|rare urogenital diseases|rare endocrine diseases|rare gynecological and obstetric diseases|rare transplant-related disorders
3878,98087,"Syndrome with 46,XY difference of sex development",rare developmental anomalies during embryogenesis|rare genetic diseases|rare urogenital diseases|rare endocrine diseases
3879,98095,Autosomal recessive congenital cerebellar ataxia,rare genetic diseases|rare neurological diseases
3880,98096,Autosomal recessive metabolic cerebellar ataxia,rare genetic diseases|rare neurological diseases
3881,98097,Autosomal recessive cerebellar ataxia due to a DNA repair defect,rare genetic diseases|rare neurological diseases
3882,98098,Autosomal recessive degenerative and progressive cerebellar ataxia,rare genetic diseases|rare neurological diseases
3883,98099,Autosomal recessive syndromic cerebellar ataxia,rare genetic diseases|rare neurological diseases
3884,98127,Autosomal anomaly syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3885,98130,Autosomal trisomy syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3886,98131,Total autosomal trisomy syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3887,98132,Partial autosomal duplication/triplication syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3888,98141,Total autosomal monosomy syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3889,98142,Partial autosomal deletion syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3890,98152,Autosomal uniparental disomy syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3891,98153,Maternal uniparental disomy syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3892,98154,Paternal uniparental disomy syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3893,98155,Sex-chromosome anomaly syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3894,98156,Sex-chromosome number anomaly syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3895,98157,Sex-chromosome structural anomaly syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3896,98158,Chromosome Y structural anomaly syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3897,98159,Chromosome X structural anomaly syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
3898,98196,Malformation syndrome with hamartosis,rare developmental anomalies during embryogenesis|rare genetic diseases
3899,98203,Combined dystonia,rare genetic diseases|rare neurological diseases
3900,98249,Ehlers-Danlos syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare skin diseases|rare systemic and rheumatological diseases
3901,98252,Infectious encephalitis,rare neurological diseases|rare infectious diseases
3902,98255,Chronic encephalitis,rare neurological diseases
3903,98259,Childhood-onset epilepsy syndrome,rare genetic diseases|rare neurological diseases
3904,98260,Adolescent-onset epilepsy syndrome,rare genetic diseases|rare neurological diseases
3905,98261,Progressive myoclonic epilepsy,rare genetic diseases|rare neurological diseases
3906,98267,Genetic non-syndromic obesity,rare genetic diseases|rare endocrine diseases
3907,98274,Myeloproliferative neoplasm,rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders
3908,98275,Myelodysplastic/myeloproliferative disease,rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders
3909,98277,Acute myeloid leukemia with recurrent genetic anomaly,rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders|Classification of pediatric cancer (Functional)
3910,98282,Plasma cell tumor,rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders
3911,98287,Histiocytic and dendritic cell tumor,rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders
3912,98288,Macrophage or histiocytic tumor,rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders
3913,98289,Dendritic cell tumor,rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders
3914,98290,Immunodeficiency-associated lymphoproliferative disease,rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders
3915,98291,Lymphoproliferative disease associated with primary immune disease,rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders
3916,98292,Mastocytosis,rare hematological diseases|rare neoplastic diseases
3917,98293,Hodgkin lymphoma,rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders|Classification of pediatric cancer (Functional)
3918,98300,Idiopathic interstitial pneumonia,rare respiratory diseases|rare transplant-related disorders
3919,98301,Laminopathy,rare genetic diseases
3920,98305,Genetic lipodystrophy,rare genetic diseases|rare skin diseases|rare endocrine diseases
3921,98306,Familial partial lipodystrophy,rare genetic diseases|rare skin diseases|rare endocrine diseases
3922,98307,Acquired lipodystrophy,rare skin diseases|rare endocrine diseases
3923,98313,Male infertility due to gonadal dysgenesis,rare genetic diseases|rare infertility disorders
3924,98343,Male infertility due to obstructive azoospermia,rare infertility disorders
3925,98349,Autosomal dominant isolated diffuse palmoplantar keratoderma,rare genetic diseases|rare skin diseases
3926,98352,Autosomal dominant disease with diffuse palmoplantar keratoderma as a major feature,rare genetic diseases|rare skin diseases
3927,98353,Autosomal dominant disease associated with focal palmoplantar keratoderma as a major feature,rare genetic diseases|rare skin diseases
3928,98356,Autosomal recessive isolated diffuse palmoplantar keratoderma,rare genetic diseases|rare skin diseases
3929,98357,Autosomal recessive disease with focal palmoplantar keratoderma as a major feature,rare genetic diseases|rare skin diseases
3930,98360,Constitutional anemia due to iron metabolism disorder,rare genetic diseases|rare hematological diseases
3931,98362,Constitutional sideroblastic anemia,rare genetic diseases|rare hematological diseases
3932,98363,Rare hemolytic anemia,rare hematological diseases
3933,98364,Rare constitutional hemolytic anemia due to a red cell membrane anomaly,rare genetic diseases|rare hematological diseases
3934,98365,Hereditary stomatocytosis,rare genetic diseases|rare hematological diseases
3935,98366,Constitutional hemolytic anemia due to acanthocytosis,rare genetic diseases|rare hematological diseases
3936,98369,Rare constitutional hemolytic anemia due to an enzyme disorder,rare genetic diseases|rare hematological diseases
3937,98370,Hemolytic anemia due to hexose monophosphate shunt and glutathione metabolism anomalies,rare genetic diseases|rare hematological diseases
3938,98372,Hemolytic anemia due to a disorder of glycolytic enzymes,rare genetic diseases|rare hematological diseases
3939,98374,Hemolytic anemia due to an erythrocyte nucleotide metabolism disorder,rare genetic diseases|rare hematological diseases
3940,98375,Autoimmune hemolytic anemia,rare hematological diseases
3941,98396,Constitutional megaloblastic anemia due to vitamin B12 metabolism disorder,rare genetic diseases|rare hematological diseases
3942,98408,Constitutional megaloblastic anemia due to folate metabolism disorder,rare genetic diseases|rare hematological diseases
3943,98415,Vitamin B12- and folate-independent constitutional megaloblastic anemia,rare genetic diseases|rare hematological diseases
3944,98421,Primary acquired red cell aplasia,rare hematological diseases|rare transplant-related disorders
3945,98427,Polycythemia,rare hematological diseases
3946,98428,Secondary polycythemia,rare genetic diseases|rare hematological diseases
3947,98429,Rare coagulation disorder,rare hematological diseases
3948,98434,Hereditary combined deficiency of vitamin K-dependent clotting factors,rare inborn errors of metabolism|rare genetic diseases|rare hematological diseases
3949,98455,Alpha granule disease,rare genetic diseases|rare hematological diseases
3950,98456,Dense granule disease,rare genetic diseases|rare hematological diseases
3951,98472,Skeletal muscle disease,rare neurological diseases
3952,98473,Muscular dystrophy,rare genetic diseases|rare neurological diseases
3953,98482,Idiopathic inflammatory myopathy,rare neurological diseases|rare systemic and rheumatological diseases
3954,98486,Metabolic myopathy,rare genetic diseases|rare neurological diseases
3955,98491,Neuromuscular junction disease,rare neurological diseases
3956,98494,Acquired neuromuscular junction disease,rare neurological diseases
3957,98495,Genetic neuromuscular junction disease,rare genetic diseases|rare neurological diseases
3958,98496,Rare peripheral neuropathy,rare neurological diseases
3959,98497,Genetic peripheral neuropathy,rare genetic diseases|rare neurological diseases
3960,98503,Motor neuron disease,rare neurological diseases
3961,98505,Genetic motor neuron disease,rare genetic diseases|rare neurological diseases
3962,98506,Acquired motor neuron disease,rare neurological diseases
3963,98514,Malformation of the cerebellar vermis,rare developmental anomalies during embryogenesis|rare neurological diseases
3964,98516,Malformation of the cerebellar hemispheres,rare developmental anomalies during embryogenesis|rare neurological diseases
3965,98518,Cranial nerve and nuclear aplasia,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
3966,98519,Posterior fossa malformation,rare developmental anomalies during embryogenesis|rare neurological diseases
3967,98523,Non-syndromic pontocerebellar hypoplasia,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
3968,98534,Neurodegenerative disease with dementia,rare neurological diseases
3969,98535,Frontotemporal degeneration with dementia,rare neurological diseases
3970,98538,Ataxia with dementia,rare genetic diseases|rare neurological diseases
3971,98539,Early-onset ataxia with dementia,rare genetic diseases|rare neurological diseases
3972,98540,Late-onset ataxia with dementia,rare genetic diseases|rare neurological diseases
3973,98542,Infectious disease with dementia,rare neurological diseases
3974,98543,Metabolic disease with dementia,rare genetic diseases|rare neurological diseases
3975,98544,Cerebral lipidosis with dementia,rare genetic diseases|rare neurological diseases
3976,98549,Rare cerebrovascular dementia,rare genetic diseases|rare neurological diseases
3977,98553,Developmental defect of the eye,rare developmental anomalies during embryogenesis
